Geography,sum_cases
Alabama,3484
Alaska,187
Arizona,2882
Arkansas,1379
California,23692
Colorado,1732
Connecticut,3536
Delaware,1218
Florida,31055
Georgia,11256
Hawaii,554
Idaho,185
Illinois,8263
Indiana,2459
Iowa,467
Kansas,660
Kentucky,1486
Louisiana,6610
Maine,290
Maryland,10013
Massachusetts,4070
Michigan,4260
Minnesota,1083
Mississippi,2863
Missouri,2684
Montana,129
Nebraska,401
Nevada,1755
New Hampshire,230
New Jersey,11745
New Mexico,748
New York,35414
North Carolina,6061
North Dakota,77
Ohio,3880
Oklahoma,1566
Oregon,1340
Pennsylvania,9392
Rhode Island,587
South Carolina,4746
South Dakota,94
Tennessee,4733
Texas,18559
Utah,430
Vermont,104
Virginia,4423
Washington,2345
West Virginia,507
Wisconsin,1242
Wyoming,62
